PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
983,,"forward psba failed",Pseudolithophyllum whidbeyense,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91969,,"low intertidal, on rock",,,,,,
984,,messy psbaF seq,Lithothamnion phymatodeum ,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91970,,mid tidepool,,,,,,
985,Bossiella reptans,needs reverse,Bossiella reptans,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91971,,low intertidal,,,,,,
986,Pseudolithophyllum sp. 1whidbeyense,"needs reverse, reverse psba PCR failed",Pseudolithophyllum widbeyense,,X (CJ),,,X (CJ),,X (CJ),,X (CJ),,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91393,,low intertidal,,,,,,
987,Pseudolithophyllum sp. 1whidbeyense,"needs reverse, reverse psba PCR failed",Unknown coralline crust,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Fifth Beach",15-Jun-14,"West end of transect, bumpy! Growing over barnacles and worms",A91394,,exposed low intertidal,,,,,,
988,Pseudolithophyllum sp. 2whidbeyense,needs reverse,Pseudolithophyllum whidbeyense,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91395,,exposed low intertidal,,,,,,
989,Pseudolithophyllum sp. 1whidbeyense,needs reverse,Pseudolithophyllum muricatum,,X (CJ),,,X (CJ),8v15,,,X (CJ),,Coralline,"Hakai, Fifth Beach",15-Jun-14,,A91396,,exposed low intertidal,,,,,,
990,,"forward psba failed",Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,with worms,A91972,,exposed low intertidal,,,,,,
991,Lithophyllum sp.2,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,thick; dark; smooth; beside Litho sp. 1,A91973,,exposed low intertidal,,,,,,
992,Pseudolithophyllum sp. 2whidbeyense,"needs reverse, far out, C01 PCR failed",Pseudolithophyllum whidbeyense,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Fifth Beach",15-Jun-14,"swirly",A91397,,exposed low intertidal,,,,,,
993,GWS020772Corsp30Bccrust,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,on boring sponge; bright pink; voucher in bag,A91974,,low tidepool,y,,,,,
994,Lithophyllum sp.2,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,dark pink; smooth,A91975,,low intertidal,y,,,,,
995,Lithophyllum sp.2,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,dark pink; smooth; same as 994?,A91976,,low intertidal,,,,,,
996,Spongites tumidum,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,"",A91977,,low intertidal,,,,,,
997,GWS020166Corsp23Bccrust,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,thin; adherent; white margin; very dirty sample; photo voucher,no voucher,,x,,,,,,
998,"Spongites tumidum",needs reverse (far out),Spongites tumidum,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,under kelp; very reproductive,A91978,,low intertidal,,,,,,
999,Pseudolithophyllum sp. 1whidbeyense,needs reverse,Pseudolithophyllum whidbeyense,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Sixth beach rocks",15-Jun-14,very swirly,A91398,,low intertidal,,,,,,
"1,000",Bossiella sp.4 plumosa,needs reverse,Bossiella Hakaiensis ,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach ",15-Jun-14,,A91979,,low pool,,,,,,
"1,001",,"forward psba failed",Bossiella sp. 5 chiloensis,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,beautiful; west end of transect,A91980,,low intertidal,y,,,,,
"1,002",Bossiella reptans,needs reverse,Unknown crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,possibly B. frondifera?; near sand,A91981,,low pool,,,,,,
"1,003",Bossiella sp.2 chiloensis,needs reverse,Bossiella sp. 2 chiloensis,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,infested with worms; needs DNA sample,A91982,,mid pool on rock,y,,,,,
"1,004",,messy psbaF seq,Lithothamnion phymatodeum ,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,in sand with kelp,A91983,,low,y,,,,,
"1,005",Lithothamnion phymatodeum,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,with Ptilota; no white margin,A91984,,low,y,,,,,
"1,006",Clathromorphum sp. ,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,on Ahnfeltia; near sand,A91985,,Pseudeilithophyllum muricatum,,,,,,
"1,007",,PCR failed,Melobesia mediocris ,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",15-Jun-14,on Phyllospadix,A91986,,low,y,,,,,
"1,008",Pseudolithophyllum sp. 1whidbeyense,needs rev,Pseudolithophyllum whidbeyense,,X (CJ),,,X (CJ),,,,X (CJ),,Coralline,"Hakai, Fifth Beach",16-Jun-14,surge channel; under Saccharina; comes off easily (chunks),A91399,,"mid, in channel",y,,,,,
"1,009",Spongites tumidum,"far out, needs reverse",Leptophytum sp.,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,chalky; dark purple/grey; reproductive; under Saccharina; on green sponge,A91987,,mid in channel,y,,,,,
"1,010",Lithophyllum sp.2,needs reverse,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,chalky; pink; under Saccharina,A91988,,mid in channel,,,,,,
"1,011",Pseudolithophyllum sp. 1whidbeyense,needs rev,Pseudolithophyllum whidbeyense,,X (CJ),,,X (CJ),,X (CJ),,X (CJ),,Coralline,"Hakai, Fifth Beach",16-Jun-14,thick; white margins; swirly; under Saccharina,A91400,,mid in channel,y,,,,,
"1,012",Lithothamnion glaciale,needs rev,Lithothamnion phymatodeum ,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,hard; bumpy; does not come off easily,A91989,,mid in channel,,,,,,
"1,013",,PCR failed,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,smooth; white margins,A91990,,"low, surge tidepool",,,,,,
"1,014",,PCR failed,Unknown coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,dark pink; lumpy; in bag in silica; needs DNA subsample,A91991,,"low surge tidepool, on giant barnacle",,,,,,
"1,015",Corallinac sp. 7BCcrust_Lithothamnion,"match to 744 - match to Corallinac sp. 7BC crust (e.g. GWS020943, GWS019416) ",Lithophyllum sp.,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,smooth; pink; thick; difficult to get off rock,A91992,,"low, surge tidepool",y,,,,,
"1,016",,psbA failed,Unknown coralline crust,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,on giant barnacle; voucher in bag,A91993,,low surge tidepool,y,,,,,
"1,017",Lithophyllum impressum,,Lithophyllum impressum,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,this sequence matches to JQ917416 on GenBank submitted by Paul - match to 1020; smooth; thin; hard to get; crumbles,A91994,,upper mid tidepool,y,,,,,
"1,018",Lithophyllum impressum,,Unknown coralline crust,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,this sequence matches to JQ917416 on GenBank submitted by Paul; very thin; purple,A91995,,high tidepool,,,,,,
"1,019",Corillinac sp.4 BCcrust_Lithophyllum,"",Lithophyllum sp.,,X (CJ),,8ix14 (CJ),,,yes,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,There is an insertion of 6 bp in the 1019 specimen in CO1 compared to the GWS specimens for this species.  Otherwise the sequence is identical.; voucher in bag,A91996,,high tidepool,y,,,,,
"1,020",Lithophyllum impressum ,no match to GWS CO1 database,Lithiphyllum sp.,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,this sequence matches to JQ917416 on GenBank submitted by Paul; The closest sp. match in GWS database is Corallinac sp.12BC crust - but substantially different.  This sequence also had the 6 bp insertion like 1019.; comes off easily; voucher in bag; samples for DNA,A91998,,high tidepool,y,,,,,
"1,021",Bossiella sp. 5chiloensis,,Bossiella sp. 5 chiloensis,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,"under Alma, Saccharina; with Codium setchellii; robust",A91999,,"mid, on rocky shelf",y,,,,,
"1,022",Chiharaea silvae,,Bossiella sp.,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Fifth Beach",16-Jun-14,young uprights with base fragmentary and tiny,A92000,,mid,y,,,,,
"1,023",Chiharaea silvae,,Chiharaea silvae,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,under Saccharina sessilis,A92001,,mid,y,,,,,
"1,024",Bossiella sp. 2chiloensis,,Bossiella pseudodichotoma,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,"under Phyllospadix",A92002,,high tidepool,y,,,,,
"1,025",Bossiella reptans,far out - try rbcl and CO1 ,Bossiella sp.,,X (CJ),,8ix14 (CJ),messy psbA,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,w/ Calliarthron,A90731,,upper mid pool,y,,,,,
"1,026",,psbA failed,Bossiella sp. 2 chiloensis,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,,A92003,,upper mid pool,,,,,,
"1,027",Bossiella sp. 2chiloensis,,Bossiella sp. 2 chiloensis,,X (CJ),,8ix14 (CJ),,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,under Phyllo.,A92004,,high tidepool,y,,,,,
"1,028",,PCR failed,Bossiella sp.,,X (CJ),,,,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,,A92005,,high tidepool,y,,,,,
"1,029",,PCR failed,Bossiella sp. 5 chiloensis,,X (CJ),,,,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,under Alaria and S. sessilis; w/ C. setchellii,A92006,,"mid, bench",y,,,,,
"1,030",,"messy F seq, need f ,R ",Bossiella Orbigniana,,X (CJ),,,,,,,,,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-14,,A92007,,"low, boulder, near soft sediment",,,,,,
"1,031",Bossiella sp. ,needs rev,Bossiella pseudodichotoma,,X (CJ),,,,,,,,,Coralline,"Hakai, Little Wolf Beach, rocky outcropping",15-Jun-14,at base of large rock,A92008,,mid tidepool,y,,,,,
"1,032",Crusticorallina adhaerens,confirmed by RBCL,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 1-sample 1,A92009,,"subtidal, 12.5m",,,,,,
"1,033",Crusticorallina adhaerens,"messy psba F,R, messy CO1, rbcl failed, final determination C. adhaerens because this sample was split into two with PTM1034, determination not based on sequence data.",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 1-sample 2a; on barnacle; voucher in bag,A92010,,"subtidal, 12.5m",,,,,,
"1,034",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 1-sample 2b; on cap corral; voucher in bag,A92011,,"subtidal, 12.5m",,,,,,
"1,035",Crusticorallina adhaerens,"confirmed by RBCL, psba",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 1-sample 3; on rock,A92012,,"subtidal, 12.5m",,,,,,
"1,036",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 2-sample 1a; on rock,A92013,,"subtidal, 13.5m",y,,,,,
"1,037",Crusticorallina adhaerens,"messy psba F,R, c01, rbcl failed, final determination C. adhaerens because this sample was split into two with PTM1036, determination not based on sequence data.",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 2-sample 1b; on barnacle; no voucher ,no voucher,,"subtidal, 13.5m",,,,,,
"1,038",Pseudolithophyllum sp. 2whidbeyense,needs reverse,Coralline crust,,X (CJ),,X (CJ),,8v15,,X (CJ),,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 2-sample 2; on cap corral; voucher in bag,A91401,,"subtidal, 13.5m",,,,,,
"1,039",Corsp27Bccrust_Lithophyllum ,,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 2-sample 3; on rock,A92014,,"subtidal, 13.5m",,,,,,
"1,040",Mesophyllum sp.2 ,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 2-sample 4; single shell; voucher in bag,A92015,,"subtidal, 13.5m",y,,,,,
"1,041",,99.92% match porphyra mumfordii (contaminant) BOLD using rbcl,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 2-sample 5; on barnacle; voucher in bag,A92016,,"subtidal, 13.5m",,,,,,
"1,042",Corsp13BCcrust mesophyllum,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 3-sample 1; single shell; voucher in bag,A92017,,"subtidal, 13.2m",y,,,,,
"1,043",Crusticorallina adhaerens,confirmed by RBCL,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 3-sample 2; on rock; voucher in bag,A92018,,"subtidal, 13.2m",y,,,,,
"1,044",Chiharaea americana,confirmed by RBCL,Chiharaea americana,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 3-sample 3; on rock,A92019,,"subtidal, 13.2m",,,,,,
"1,045",Chiharaea americana,"mess F and R psba, messy c01, rbcl moderate 98.69% chiharaea americana; final determination based on sections of 'clean' rbcL data",Chiharaea americana,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 3-sample 4; on rock,A92020,,"subtidal, 13.2m",y,,,,,
"1,046",Chiharaea americana,needs rev,Chiharaea americana,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 4-sample 1; on rock,A92021,,"Subtidal, 10.1m",,,,,,
"1,047",Lithophyllum sp.4,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 4-sample 2; on rock; no voucher,no voucher,,"Subtidal, 10.1m",,,,,,
"1,048",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 4-sample 3; on rock; voucher,A92022,,"Subtidal, 10.1m",y,,,,,
"1,049",Pseudolithophyllum sp. 2whidbeyense,needs reverse!! ,Coralline crust,,X (CJ),,,X (CJ),8v15,,X (CJ),,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 4-sample 4; on rock; dirty,A91402,,"Subtidal, 10.1m",,,,,,
"1,050",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,,X (CJ),,,,,X (CJ),,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 5-sample 1; on rock,A91403,,"subtidal, 10.2m",,,,,,
"1,051",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 5-sample 2; on rock; no voucher; very small sample,no voucher,,"subtidal, 10.2 m",,,,,,
"1,052",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 5-sample 3; on rock; no voucher,no voucher,,"subtidal, 10.2m",,,,,,
"1,053",Chiharaea americana,confirmed by RBCL,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 5-sample 4; on rock,A92024,,subtidal 10.2m,,,,,,
"1,054",Chiharaea americana,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 6-sample 1; on rock,A92025,,"subtidal, 10.1 m",y,,,,,
"1,055",Crusticorallina adhaerens,"confirmed by co1, rbcl",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 6-sample 2; on cup coral,A92026,,"subtidal, 10.1 m",,,,,,
"1,056",Crusticorallina muricata,confirmed by RBCL,Coralline crust,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 6-sample 3; on rock,A91404,,"subtidal, 10.1 m",,,,,,
"1,057",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Kelpie pt. ",06-Jul-14,quad 6-sample 4; on rock; voucher in bag,A92027,,"subtidal, 10.1 m",,,,,,
"1,058",Bossiella schmittii,needs rev,Bossiella schmittii,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 1-sample 1; on rock/bryozoan,A92028,,"subtidal, 13.3m",,,,,,
"1,059",Crusticorallina muricata,needs reverse,Coralline crust ,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),X(CJ),Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 1-sample 2; on bryozoan,A91405,,"subtidal, 13.3m",,,,,,
"1,060",Crusticorallina muricata,"needs reverse, CO1 PCR failed",Coralline crust,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 1-sample 3; on bryozoan,A91406,,"subtidal, 13.3m",,,,,,
"1,061",Crusticorallina painei,"c01 messy and rbcl messy, good psbA",Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 1-sample 4; on shell material,A92029,,"subtidal, 13.3m",y,,,,,
"1,062",Mesophyllum vancouveriense,,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 1-sample 5;very dirty; on bryozoan colony,A92030,,"subtidal, 13.3m",,,,,,
"1,063",Mesophyllum vancouveriense,,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,"on bryozoan (not in quad); shelf-like; voucher in bag",A92031,,subtidal 13.8 m,y,,,,,
"1,064",Mesophyllum vancouveriense,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,"on bryozoan (not in quad); shelf-like; voucher in bag",A92032,,subtidal 13.8 m,,,,,,
"1,065",Mesophyllum vancouveriense,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 2-sample 1a; on bryozoan; voucher in bag,A92033,,"subtidal, 13.2m",,,,,,
"1,066",Mesophyllum vancouveriense,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 2-sample 1b; on bryozoan; voucher in bag,A92034,,"subtidal, 13.2m",,,,,,
"1,067",Mesophyllum vancouveriense,,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 2-sample 2; on bryozoan,A92035,,"subtidal, 13.2m",,,,,,
"1,068",Mesophyllum vancouveriense,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 2-sample 3; on kelp stipe,A92036,,"subtidal, 13.2m",,,,,,
"1,069",Crusticorallina adhaerens,confirmed by co1,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 3-sample 1; on rock,A92037,,"subtidal, 13.7 m",,,,,,
"1,070",Crusticorallina painei,needs reverse,Coralline crust,,X (CJ),,,X (CJ),8v15,X (CJ),,X (CJ),,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 3-sample 2; on rock,A91407,,"subtidal, 13.7 m",,,,,,
"1,071",Bossiella reptans,needs reverse,Bossiella sp.,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 3-sample 3a; on rock,A92038,,"subtidal, 13.7 m",,,,,,
"1,072",Chiharaea americana,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 3-sample 3b; on bryozoan; need DNA; voucher in bag,A92039,,"subtidal, 13.7 m",y,,,,,
"1,073",Chiharaea americana,,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 3-sample 5; on rock; no voucher,no voucher,,"subtidal, 13.7 m",,,,,,
"1,074",Bossiella reptans,needs reverse,Bossiella sp. ,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 4-sample 1; on rock,A92040,,subtidal 13.0m,,,,,,
"1,075",Crusticorallina adhaerens,confirmed by co1 ,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 4-sample 2; dirty; on rock,A92041,,subtidal 13.0m,,,,,,
"1,076",Chiharaea americana,,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 4-sample 3; on rock,A92042,,subtidal 13.0m,,,,,,
"1,077",Lithothamnion glaciale,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 4-sample 4; on rock,A92043,,"subtidal, 13.0m",,,,,,
"1,078",Chiharaea americana,,Chiharaea americana,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 5-sample 1; voucher on rock,A92044,,"subtidal, 12.8m",,,,,,
"1,079",Corillinac sp.4 BCcrust_Lithophyllum,"rbcL fail, CO1 fail, psbA moderate",Coralline crust ,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 5-sample 2,A92045,,"subtidal, 12.8m",,,,,,
"1,080",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,,X (CJ),,,,,X (CJ),,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 5-sample 3,A91408,,"subtidal, 12.8m",,,,,,
"1,081",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,,X (CJ),,,,,X (CJ),,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 5-sample 4; needs DNA; voucher in bag,A91409,,"subtidal, 12.8m, on limpet",,,,,,
"1,082",Lithothamnion glaciale,"all genes failed, even on re-extracted DNA; Katy determined based on 200bp clean psbA sequence",Lithothamnion phymatodeum ,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,"quad 5-sample 5",A92046,,"subtidal, 12.8m",,,,,,
"1,083",Lithothamnion glaciale,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 6-sample 1,A92047,,subtidal 12.9m,,,,,,
"1,084",Chiharaea americana,,Chiharaea americana,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 6-sample 2,A92048,,subtidal 12.9m,,,,,,
"1,085",Melobesia sp.1,"good psbA seq - 93% phymatolithon sp on blast (falls in Corallinales, but no species match, messy c01, messy rbcl, (CO1 appears to be a chimeric sequence.  Last 200 bp are exact match to Lithothamnion, first 400 bp appear to be animal(?)",Coralline crust ,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,"quad 6-sample 3; on Bossiella schmittii",A92049,,subtidal 12.9m,,,,,,
"1,086",Lithophyllum sp.4,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,quad 6-sample 4; very tiny!; DNA only; no voucher,no voucher,,subtidal 12.9m,,,,,,
"1,087",Mesophyllum vancouveriense,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,large abundant crusts growing on bryozoan; voucher in bag,A92050,,subtidal 10m,,,,,,
"1,088",Chondracanthus corymbiferus,sequence 100% match in BOLD,Unknown red blade,,x (JN),6/22/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai, Gosling Is. ",07-Jul-14,"same as last year? thick blade, ground material reached half 0.1 mark, no genetic sample left in vial",A92051,,subtidal,,,,,,
"1,089",Mesophyllum vancouveriense,needs reverse,Coralline crust,,X (CJ),,,,,,,,,Coralline,"Hakai, Gosling Is. ",07-Jul-14,same as 1087? on bryozoan,A92052,,subtidal 10m,,,,,,
